id|area|expected_behavior|pytest_selectors|contract_prefixes
CLI-HELP|cli|Every public command and nested clean command has working --help with usage and flags.|test_cli.py::test_grep_help*;test_secrets_cli.py::test_help*;test_scope.py::test_grep_help*|HELP-
CLI-VERSION|cli|--version prints sxr and the runtime package version.|test_smoke.py::test_version|VERSION
CLI-PARSERS|cli|Find and skills produce equivalent results through fast entry points and Typer routing.|test_find.py::test_fast_cli*;test_find_current.py::test_fast_cli*;test_skills.py::test_paths_aliases_and_both_parsers;test_find_integrity.py::test_usage_errors*;test_find_paths.py::test_path_limits*|LIST-provider
CLI-FLAG-POSITIONS|cli|Shared provider, project, output, time and discovery flags work before or after the command; clean also accepts group-level flags.|test_file_selection.py::test_explicit_file*;test_secrets_cli.py::test_clean_flag_positions*;test_find_integrity.py::test_coverage_and_root_flags*;test_scope.py::test_before_today*|LIST-provider
CLI-CONFLICTS|cli|Conflicting providers and provider-specific discovery flags return usage errors with a useful diagnostic.|test_secrets_cli.py::test_conflicting_provider_flags*;test_find_integrity.py::test_usage_errors*;test_file_selection.py::test_file_validation*|
CLI-NEGATIVE-LIMIT|cli|Negative row limits are rejected with exit 2, consistent with find and skills. This is a consistency expectation beyond the documented 0 and positive values.|test_find_integrity.py::test_usage_errors*;test_skills.py::test_bad_skill_flags*|USAGE-negative-limit-
CLI-RECORD-ERROR|cli|Unexpected JSON record shapes should be skipped or reported as errors without an uncaught Python traceback. This is a resilience expectation.|test_read_cache.py::test_blank_torn*|USAGE-invalid-json-record
FORMAT-JSON|output|--json emits parseable structured output; session read views preserve original records and never shorten values.|test_file_selection.py::test_file_scope*;test_codex_outcomes.py::test_completed_commands_counts*;test_prompts.py::*|READ-provider-outcomes
FORMAT-CLEAN-JSON|output|secrets clean honors its advertised --json flag with JSON output, or rejects that unsupported output mode. It must not silently emit TSV.||FORMAT-clean-json
OUTPUT-LIMIT-JSON|output|A positive -n caps JSONL record counts across show, prompts, errors and cmds while leaving each returned record intact.|test_views.py::test_cmds_limit*|LIMIT-json-
OUTPUT-LIMIT-AGGREGATES|output|The advertised -n option caps printed tools, stats, path and clean rows; zero allows all.||LIMIT-tools;LIMIT-stats;LIMIT-path;LIMIT-clean
LIST-DEFAULT|list|Bare invocation lists Claude sessions in the exact cwd, newest first, with @N handles.|test_providers.py::test_claude_list_and_parse;test_lazy_discovery.py::test_limited_list*|LIST-default
LIST-CODEX|list|--codex lists actual Codex thread IDs with kind, model/effort, counts and source metadata.|test_providers.py::test_codex_list_and_parse;test_providers.py::test_codex_thread_identity*|LIST-provider
LIST-LIMIT|list|List -n caps visible sessions, -n 0 shows all, and text output reports omitted sessions.|test_lazy_discovery.py::test_limited_list*;test_navigation.py::test_list_view_handles*|
LIST-LIVE|list|Sessions whose last timestamp is within ten minutes of now are labelled live; JSON has a separate boolean.|test_scope.py::test_is_live*;test_scope.py::test_window_edges*;test_scope.py::test_list*;test_scope.py::test_bare_list*|
LIST-EMPTY|list|An empty list currently returns exit 0 and no JSON rows; stderr explains searched roots. This deliberate tested exception conflicts with the README's general empty=1 statement.|test_discovery.py::test_empty_json_list*;test_navigation.py::test_list_view_handles*|
LIST-LAZY|list|Only displayed sessions are summarized; titles and metadata refresh on later invocations.|test_lazy_discovery.py::test_limited_list*;test_lazy_discovery.py::test_titles*;test_lazy_discovery.py::test_new_invocation*;test_lazy_discovery.py::test_count_reuses*|
SELECT-DEFAULT|selection|No session argument selects the newest session in the filtered scope.|test_handles.py::test_default_is_newest|SELECT-identities
SELECT-HANDLES|selection|@N selects one session; @A:@B includes both endpoints and accepts reverse order.|test_handles.py::test_ordinal_and_range;test_handles.py::test_out_of_range*|SELECT-range
SELECT-NAMES|selection|Unique ID prefixes and case-insensitive name/title matches resolve sessions; unknown or ambiguous selectors fail with exit 2.|test_handles.py::test_unique_prefix*;test_handles.py::test_name_and_title*;test_handles.py::test_unknown*;test_lazy_discovery.py::test_names_and_time_handles*|SELECT-identities
SELECT-AMBIGUITY|selection|Ambiguity diagnostics identify candidates, cap them at five short titles, and preserve distinct conflicting source paths.|test_handles.py::test_ambiguous_candidates*;test_handles.py::test_duplicate_exact*;test_handles.py::test_codex_short*;test_handles.py::test_missing_and_hint*;test_discovery.py::test_colliding_short_ids*|
SELECT-CHILD-ID|selection|Claude child IDs are parent-qualified and Codex child IDs remain real thread IDs with parent lineage metadata.|test_handles.py::test_parent_qualified*;test_providers.py::test_codex_thread_identity*;test_discovery.py::test_coverage_counts_codex*|
SCOPE-PATH|scope|--path expands ~, resolves relative paths and symlinks, and defaults to one exact recorded project.|test_navigation.py::test_relative_home*;test_navigation.py::test_symlink*;test_discovery.py::test_recorded_symlink*;test_providers.py::test_codex_ignores*|
SCOPE-RECURSIVE|scope|--recursive includes descendants without matching sibling paths that merely share a prefix.|test_discovery.py::test_recursive_scope*|
SCOPE-WORKTREES|scope|--worktrees adds registered sibling Git worktrees and is opt-in for both providers.|test_discovery.py::test_worktree_association*;test_codex_discovery.py::test_codex_worktree*|
SCOPE-PROFILES|scope|Repeated --claude-root searches multiple profiles; explicit roots replace CLAUDE_CONFIG_DIR; Codex roots come from CODEX_HOME.|test_discovery.py::test_multiple_profiles*;test_navigation.py::test_relative_codex_home*;test_file_selection.py::test_codex_file_uses*;test_search_index.py::test_paths_keep_profiles*|
SCOPE-CHILDREN|scope|Ordinary session views require --include-agents for Claude children; nested child cwd follows recorded metadata and parent fallback.|test_discovery.py::test_nested_agent*;test_lazy_discovery.py::test_child_keeps*;test_find_integrity.py::test_child_scope*|
SCOPE-ARCHIVES|scope|Ordinary Codex views include archived_sessions only with --archives; active/archive conflicts remain distinguishable.|test_discovery.py::test_archive_only*;test_codex_discovery.py::test_conflicting_active*|
SCOPE-COPIES|scope|Byte-identical copies of a session collapse into one result with all provenance paths; conflicting copies remain separate.|test_discovery.py::test_multiple_profiles*;test_discovery.py::test_conflicting_profile*;test_navigation.py::test_conflicting_profile*|
